Alloys (compostion);Tg(K);Tx(K);Tl(K);Dmax (mm)
"La68 (Cu,Ni)18 Al14";405;431;724;1
"La70 (Cu,Ni) 16 Al14";404;429;763;0.5
(La80 Ce20)65 Co25 Al10;439;476;869;12
Mg57 Cu31 Y6.6 Nd5.4;427;491;778;14
Mg57 Cu31.5 Y9.2 Nd2.3;428;502;777;10
Mg58.5 Cu30.5 Gd11;427;490;753;8
Mg59 Cu31 Gd10;424;482;769;4
Mg60 Ni23.6 La13.51 B2.89;453;498;811;1
Mg60 Ni23.6 La15.65 Y0.75;456;495;839;4
Mg60 Ni23.6 La15.8 Y0.5 Si0.1;453;494;828;1.5
Mg60 Ni23.6 La15.9 Si0.5;457;492;828;1
Mg60 Ni23.6 La15.9 Y0.5;456;492;829;4
Mg60 Ni23.6 La16.15 Y0.25;456;491;829;3.5
Mg60.5 Cu28.5 Gd11;425;485;755;8
Mg61 Cu29G d10;420;480;762;4
Mg62.5 Cu26.5 Gd11;427;483;748;9
Mg63.5 Cu27.5 Gd9;425;469;773;4
Mg65 Cu15 Ag10 Er10;427;465;733;6
Mg65 Cu15 Ag10 Gd8 Y2;420;464;683;9
Mg65 Cu15 Gd10 Ag5 Pd5;430;472;748;10
Mg65 Cu25 Dy10;422;492;750;3
Mg65 Cu25 Gd10;413;473;739;7
Mg65 Cu25 Ho10;417;473;751;1
Mg65 Cu25 Pr10;413;446;784;1
Mg65 Gd10 Cu7.5 Ni7.5 Ag5 Zn5;440;477;726;11
Mg65 Cu7.5 Ni7.5 Ag5 Zn5 Gd5 Y5;434;472;718;14
Mg65 Y10 Cu7.5 Ni7.5 Ag5 Zn5;430;459;728;9
Mg65 Ni20 Nd15;459;501;805;3.5
Mg65 Cu25 Tb10;414;487;733;5
Mg68 Ni15 Gd10 Ag7;437;473;747;4
Mg69 Ni15 Gd10 Ag6;439;475;757;7
Mg70 La17 Ni13;474;474;803;0.4
Mg70 Ni15 Nd15;467;489;844;1.5
